transforms,rotation_45,rotation_-45,rotation_90,rotation_-90,rotation_180,flips_left_right,flips_top_bottom,rescale_x0.5,rescale_x1.5,gaussian_noise,average_filtering,impulse_noise,gaussian_blurring,jpeg_compression,median_filtering,crop_x0.03,crop_x0.05,crop_x0.10,contrast_x0.5,contrast_x0.2,brightness_x0.5,brightness_x0.2,colorbalance_x0.5,colorbalance_x0.2,affine_transform,perspective_transform
rotation_45,N/A,N/A,N/A,N/A,N/A,0.539796769215452,0.5162565959776981,0.5724157457188371,0.5724997510951813,0.5733958084428514,0.5733895858223815,0.5734580346475507,0.5733958084428514,0.5733273596176822,0.5731064565909996,0.572885553564317,0.5733304709279171,0.5713485663082437,0.5724966397849462,0.572512196336121,0.5724655266825965,0.5725059737156512,0.5725526433691757,0.5725868677817603,0.501558766427718,0.573800278773397
rotation_-45,N/A,N/A,N/A,N/A,N/A,0.5462651831939467,0.5105909000398248,0.5724935284747112,0.572524641577061,0.5723068498606133,0.5722881819992035,0.5720112753882916,0.5723068498606133,0.572241512345679,0.5721201712465154,0.5732371316208682,0.5745189914376743,0.5757541816009558,0.5724437475109518,0.5723472968936678,0.5724344135802469,0.5724530814416567,0.5725028624054161,0.5725868677817603,0.5848703205894066,0.56985513739546
rotation_90,N/A,N/A,N/A,N/A,N/A,0.5328741039426523,0.5398247710075668,0.5049718737554759,0.5049376493428913,0.5054976851851852,0.5055225756670649,0.5056345828355236,0.5054976851851852,0.5054603494623656,0.5056283602150538,0.5044896206690561,0.5042251592990841,0.5007249352847472,0.5050092094782955,0.5050340999601752,0.5049127588610115,0.5050683243727598,0.504965651135006,0.5051274392672243,0.46634495718837116,0.5537074372759857
rotation_-90,N/A,N/A,N/A,N/A,N/A,0.5398247710075668,0.5328741039426523,0.5038704699322979,0.5040167015133413,0.5041100408203902,0.5041971575069694,0.5041847122660295,0.5041100408203902,0.5042064914376743,0.5040727050975707,0.5032046495420152,0.5027317303863003,0.5002551274392673,0.504044703305456,0.5041193747510951,0.5039731431700518,0.5040042562724014,0.5040011449621664,0.5040944842692154,0.5231823725607327,0.5564640581441657
rotation_180,N/A,N/A,N/A,N/A,N/A,0.5241250995619275,0.6467978395061729,0.44061131023496614,0.4406704251294305,0.4401290571485464,0.4401477250099562,0.44039974113898844,0.4401290571485464,0.4401477250099562,0.4405708632019116,0.44197095280764637,0.441728270609319,0.4418838361210673,0.4407233174034249,0.44074820788530467,0.4406984269215452,0.4407450965750697,0.4406517572680207,0.4407513191955396,0.4349642821585026,0.52849337913182
flips_left_right,0.5462496266427718,0.5398434388689765,0.5398807745917961,0.5328616587017124,0.5241250995619275,N/A,N/A,0.6467916168857029,0.6468382865392274,0.6458177767821585,0.6457617731979292,0.6459702309836718,0.6458177767821585,0.6457182148546395,0.6458488898845082,0.6418352996814018,0.63511175826364,0.6183697978892871,0.6468974014336918,0.6471214157706093,0.6467169454400638,0.6468569544006372,0.6468133960573477,0.6469938520509757,0.5669429510155317,0.5610967990840303
flips_top_bottom,0.5105940113500598,0.5162348168060533,0.5328834378733572,0.5398527727996814,0.6467978395061729,N/A,N/A,0.5239633114297093,0.5240908751493429,0.5242962216248507,0.5244206740342493,0.5242277727996814,0.5242962216248507,0.5241188769414575,0.5243522252090801,0.5235837315810434,0.5215956043409,0.513873332337714,0.5240939864595778,0.5241188769414575,0.5241997710075668,0.5241966596973318,0.524165546594982,0.524271331142971,0.4723995669056153,0.5427836270410196
rescale_x0.5,0.5727082088809239,0.5723846326164874,0.5049096475507766,0.5038206889685384,0.44061131023496614,0.6467916168857029,0.5239633114297093,N/A,N/A,0.9707505724810832,0.9709714755077659,0.9727978146156909,0.9707505724810832,0.9720759906411788,0.9683361957387495,0.9370146356033453,0.8976814516129032,0.8097589356829948,0.9972713809239346,0.9952925876144962,0.9974985065710872,0.9971251493428913,0.9970193647949024,0.9952894763042612,0.5458389336917563,0.5881278624054161
rescale_x1.5,0.5723846326164874,0.5724437475109518,0.504965651135006,0.5039762544802867,0.4406704251294305,0.6468382865392274,0.5240908751493429,N/A,N/A,0.9724804609717244,0.972524019315014,0.9743099113898845,0.9724804609717244,0.9723808990442055,0.9721662186379928,0.9332468389088012,0.8933038381123058,0.8095535892074871,0.9985563520509757,0.9965028872958981,0.9986839157706093,0.9980616537236161,0.9984879032258065,0.9963566557148547,0.6312661788132218,0.5875833831142971
gaussian_noise,0.5734735911987257,0.5722632915173238,0.5053950119474313,0.5041504878534449,0.4401290571485464,0.6458177767821585,0.5242962216248507,0.9720791019514138,0.9721693299482278,N/A,0.9950716845878136,0.9938178265631222,0.9948165571485464,0.9949939018319395,0.9955259358821187,0.9288256670649144,0.8887146555157308,0.8077459179609717,0.9720417662285942,0.9718924233373158,0.972063545400239,0.9721257716049383,0.9721039924332935,0.971883089406611,0.6292904968140183,0.5822474860613301
average_filtering,0.573433144165671,0.5722384010354441,0.5054167911190761,0.5041535991636799,0.4401477250099562,0.6457617731979292,0.5244206740342493,0.9721786638789327,0.9721008811230586,0.9950312375547591,N/A,0.9940542861409797,0.9950312375547591,0.9953268120270808,0.9956721674631621,0.9286949920350458,0.8887955495818399,0.8075592393468738,0.9721599960175229,0.9720417662285942,0.9721257716049383,0.972147550776583,0.9720417662285942,0.9719142025089605,0.6292624950219037,0.5822132616487455
impulse_noise,0.5726770957785743,0.5713330097570689,0.5055225756670649,0.50414115392274,0.440349960175229,0.6459142273994425,0.5242246614894465,0.9739085523695739,0.9740454500199124,0.9954605983671844,0.9958370669056152,N/A,0.9954605983671844,0.9951432447232178,0.9902615989645559,0.9290621266427718,0.8890164526085225,0.8074347869374751,0.9740174482277977,0.9738867731979292,0.9740765631222621,0.9740454500199124,0.9741232327757865,0.9738121017522899,0.6286433442851453,0.5818523496614895
gaussian_blurring,0.5734735911987257,0.5722632915173238,0.5053950119474313,0.5041504878534449,0.4401290571485464,0.6458177767821585,0.5242962216248507,0.9720791019514138,0.9721693299482278,0.9948165571485464,0.9950716845878136,0.9935440312624453,N/A,0.9949939018319395,0.9955259358821187,0.9288256670649144,0.8887146555157308,0.8077459179609717,0.9720417662285942,0.9718924233373158,0.972063545400239,0.9721257716049383,0.9721039924332935,0.971883089406611,0.6292904968140183,0.5822474860613301
jpeg_compression,0.5733491387893269,0.5721232825567503,0.5054852399442453,0.5042033801274393,0.4401103892871366,0.6457928863002788,0.5240722072879331,0.9722284448426921,0.9721599960175229,0.9958121764237355,0.9961201961369972,0.9943125248904818,0.9958121764237355,N/A,0.9919385951812028,0.9281505127439267,0.8884284149741138,0.8072449970131422,0.9723404520111509,0.9721599960175229,0.9723684538032656,0.9723217841497411,0.9721942204301075,0.9720137644364795,0.6290073675826364,0.5821417015133413
median_filtering,0.5730940113500598,0.5722601802070888,0.5055910244922341,0.5040478146156909,0.4405708632019116,0.6458488898845082,0.5243522252090801,0.9704332188371166,0.970311877737953,0.9897326762246117,0.9899660244922341,0.9887775039824771,0.9897326762246117,0.9896984518120271,N/A,0.9279731680605336,0.8884377489048187,0.8071485463958582,0.9703181003584229,0.9702869872560733,0.9704176622859418,0.9705390033851056,0.9703523247710075,0.9701936479490243,0.6289855884109916,0.582073252688172
crop_x0.03,0.5716783651931502,0.5720237206292313,0.5052145559538033,0.5036402329749103,0.4358790073675826,0.6418913032656313,0.5204381969334926,0.935661215651135,0.9357327757865392,0.9287385503783353,0.9286545450019913,0.9293265880127439,0.9287385503783353,0.9281785145360414,0.9280073924731183,N/A,N/A,N/A,0.9357918906810035,0.9356021007566706,0.9358572281959379,0.9357638888888888,0.9358603395061729,0.9356238799283154,0.6175141875746715,0.5865939864595778
crop_x0.05,0.5704493976503385,0.5705707387495021,0.5054416816009558,0.5035624502190362,0.43229477797690163,0.6344988301473516,0.5150556302270012,0.8930362654320988,0.8933380625248905,0.8885684239346874,0.8885497560732776,0.8888795549581839,0.8885684239346874,0.8883910792512943,0.8885248655913979,N/A,N/A,N/A,0.8933100607327757,0.8932260553564317,0.8933753982477101,0.8932198327359617,0.8933536190760654,0.8931544952210275,0.6080682497013142,0.5902124402628435
crop_x0.10,0.5658415471923537,0.5672074123855038,0.5057870370370371,0.502209030266826,0.4285083134209478,0.6174208482676224,0.5056501393866986,0.8095193647949024,0.8098024940262843,0.8076152429311031,0.8074783452807647,0.8075810185185185,0.8076152429311031,0.8072481083233771,0.8071174332935086,N/A,N/A,N/A,0.8097744922341696,0.8097184886499402,0.8097215999601752,0.8096282606531262,0.8096718189964157,0.8098118279569892,0.5866531013540423,0.5989770011947432
contrast_x0.5,0.5680754679410593,0.5678825667064914,0.5049905416168857,0.5041753783353246,0.4407233174034249,0.6468974014336918,0.5240939864595778,0.9971033701712465,0.9984225657108722,0.9720915471923537,0.9721848864994026,0.9732147301871764,0.9720915471923537,0.9719110911987257,0.9703336569095977,0.9358105585424134,0.8934065113500598,0.8098087166467542,N/A,N/A,0.9980429858622063,0.9962788729589804,0.9972309338908801,0.9918234767025089,0.6197294404619673,0.5802562475109518
contrast_x0.2,0.561028350258861,0.5602411887694145,0.5054976851851852,0.5047509707287933,0.44074820788530467,0.6471214157706093,0.5241188769414575,0.9952676971326165,0.996505998606133,0.9718550876144962,0.9718986459577857,0.9696460573476703,0.9718550876144962,0.9692291417761848,0.9702434289127837,0.9357327757865392,0.8933069494225409,0.8096842642373556,N/A,N/A,0.9944712017124652,0.991447008164078,0.9923088410991637,0.9807565461967344,0.6093563321385902,0.5798486658701713
brightness_x0.5,0.5725526433691757,0.5725028624054161,0.504965651135006,0.5040011449621664,0.4406517572680207,0.6468133960573477,0.524165546594982,0.9971873755475906,0.9985750199123855,0.9721413281561131,0.9721288829151732,0.971777304858622,0.9721413281561131,0.9717990840302668,0.9703523247710075,0.9358603395061729,0.8933536190760654,0.8096718189964157,0.997150039824771,0.9922092791716448,0.9979714257268021,0.9962882068896853,N/A,N/A,0.6298131969334926,0.582446609916368
brightness_x0.2,0.5725868677817603,0.5725868677817603,0.5051274392672243,0.5040944842692154,0.4407513191955396,0.6469938520509757,0.524271331142971,0.9950934637594584,0.9964997759856631,0.9716684090003983,0.9719546495420152,0.9613917512943051,0.9716684090003983,0.968659772003186,0.9701936479490243,0.9356238799283154,0.8931544952210275,0.8098118279569892,0.9922870619275189,0.9806414277180406,0.9944525338510554,0.9913723367184388,N/A,N/A,0.630139884508164,0.5825181700517722
colorbalance_x0.5,0.5724655266825965,0.5724344135802469,0.5049127588610115,0.5039731431700518,0.4406984269215452,0.6467169454400638,0.5241997710075668,0.997517174432497,0.9987492532855436,0.9843843339307049,0.9844558940661091,0.9854359567901234,0.9843843339307049,0.9845772351652728,0.981711718438869,0.9358572281959379,0.8933753982477101,0.8097215999601752,0.9981954400637196,0.9958401782158502,N/A,N/A,0.9983230037833533,0.9958930704898447,0.6297478594185584,0.5822785991636799
colorbalance_x0.2,0.5725059737156512,0.5724530814416567,0.5050683243727598,0.5040042562724014,0.4407450965750697,0.6468569544006372,0.5241966596973318,0.9971064814814815,0.9981923287534846,0.9921719434488252,0.9924332935085624,0.9924830744723218,0.9921719434488252,0.9927226453604142,0.9876449870569495,0.9357638888888888,0.8932198327359617,0.8096282606531262,0.9975607327757865,0.9962508711668658,N/A,N/A,0.9976540720828355,0.9961544205495818,0.6294678414974114,0.5821417015133413
affine_transform,0.5159516875746715,0.5679821286340103,0.4902304858622063,0.519663480684986,0.43326861808044603,0.5686728395061729,0.47285692951015534,0.6297136350059738,0.6296762992831542,0.6291909348864994,0.6291971575069694,0.6293713908801274,0.6291909348864994,0.6291909348864994,0.628951363998407,0.6207779520111509,0.6131210175228993,0.5935197630426126,0.6296171843886897,0.629694967144564,0.629782083831143,0.6297447481083234,0.6298318647949024,0.6300776583034647,N/A,0.5871975806451613
perspective_transform,0.5157525637196336,0.5655210822381521,0.47005052767821587,0.5212564715252888,0.41771517821585025,0.5482906461569096,0.44607165969733176,0.5824372759856631,0.5823346027479092,0.5822879330943848,0.5822225955794504,0.5820048038630028,0.5822879330943848,0.5820639187574671,0.5821945937873357,0.589801747311828,0.596226602947033,0.6169883761449622,0.5822474860613301,0.5821821485463958,0.5823906063321386,0.5823750497809638,0.5825026135005974,0.5824372759856631,0.5629729191557149,N/A
